source,target
515,66776
515,40389
515,5699
43774,99596
43774,61956
43774,2628845
43774,51965
43774,259016
43774,20767
43774,24045
43774,4971
43774,44762
43774,650
43774,104021
99596,61956
99596,44762
99596,650
99596,104021
99596,17005
99596,109870
99596,235722
99596,11173
99596,1319490
113,8223
113,41234
113,1116483
113,12688
113,69344
113,6952
113,131814
113,19794
113,72717
113,38037
113,222054
113,1483204
113,1483206
113,936
113,5
113,1241229
113,2922
113,524
113,3061
113,8724
113,30296
113,29903
113,2532964
113,2532965
113,44762
113,650
113,104021
113,109
113,1327
113,882
113,1518723
113,61824
113,3070363
113,3070364
113,1313
3027,131120
3027,107094
3027,38832
3027,12074
3027,224
3027,1032
3027,1330888
3027,83002
3027,2501669
131120,11998
131120,9626
